index,Ticker,Date,Open,Close,Volume,quarter,Asset Turnover,Current Ratio,Days Sales In Receivables,Debt/Equity Ratio,Gross Margin,Inventory Turnover Ratio,Long-term Debt / Capital,Net Profit Margin,Operating Margin,ROE - Return On Equity,Receiveable Turnover,Return On Tangible Equity,Days,MA50,MA200,Crossover,Profitable,%Change,Ticker_encoded
833314,KLAC,8/14/2012,34.19,33.63,1528400,3,0.1423,5.261,67.1164,0.2228,55.9843,0.4599,0.1822,18.7825,25.8852,4.038,1.341,4.5465,953,31.1536,31.10675,1,0,0,0.428571429
833366,KLAC,10/26/2012,30.12,29.99,4279000,4,0.1328,5.2912,81.0542,0.2223,54.843,0.4586,0.1819,15.8437,22.7704,3.1724,1.1104,3.5652,1026,31.6244,31.68305,-1,0,0,0.428571429
833429,KLAC,1/31/2013,36.01,35.63,2098200,1,0.1403,5.1995,56.0748,0.2168,57.5452,0.4763,0.1782,22.8224,27.7418,4.8277,1.605,5.401,1123,31.4624,31.3619,1,0,0,0.428571429
833945,KLAC,11/16/2015,58.17,58.63,2335300,4,0.1553,4.2929,54.1227,8.5653,60.439,0.4062,0.8955,21.4302,30.1954,41.6293,1.6629,648.075,411,49.8394,49.77055,1,1,5.031553812,0.428571429
834677,KLAC,10/12/2018,89.47,88.61,1482000,4,0.1998,3.0256,52.8863,1.4011,63.5449,0.4058,0.5545,32.9584,38.6886,23.1031,1.7018,30.4206,1472,102.7406,102.83125,-1,0,0,0.428571429
834776,KLAC,3/8/2019,109.12,110.01,1404600,1,0.1194,2.612,78.5756,1.1861,55.6238,0.3697,0.5237,17.5637,22.1719,6.6761,1.1454,-19.6251,1619,98.5544,98.33415,1,1,7.999272793,0.428571429
835048,KLAC,4/6/2020,133.47,146.58,1846000,2,0.1573,2.7789,68.2842,1.2942,57.4166,0.4741,0.5641,28.1759,31.0469,15.3045,1.318,-54.2885,2014,151.2636,151.3775,-1,0,0,0.428571429
835090,KLAC,6/5/2020,188.67,190.92,1500200,2,0.1573,2.7789,68.2842,1.2942,57.4166,0.4741,0.5641,28.1759,31.0469,15.3045,1.318,-54.2885,2074,160.3706,159.6004,1,1,5.468258957,0.428571429
835455,KMB,5/16/2006,35.61,35.44,1314800,2,0.2517,1.095,48.0105,0.6235,30.9415,1.5378,0.3014,9.0739,13.0749,6.41609461,1.8746,11.9858,410,33.8884,33.8721,1,0,0,0.333333333
835774,KMB,8/22/2007,41.79,41.69,2342700,3,0.2522,1.1861,49.0242,1.1558,31.2405,1.3314,0.4671,9.8061,14.7751,9.065620685,1.8358,23.0222,873,40.7116,40.7137,-1,0,0,0.333333333
835788,KMB,9/12/2007,41.38,41.96,2072900,3,0.2522,1.1861,49.0242,1.1558,31.2405,1.3314,0.4671,9.8061,14.7751,9.065620685,1.8358,23.0222,894,40.9064,40.8982,1,0,0,0.333333333
835878,KMB,1/22/2008,38.2,39.24,6320900,1,0.2545,1.2407,48.7455,1.0282,30.2514,1.2849,0.4438,9.1627,13.796,7.919974139,1.8463,18.6323,1026,41.5874,41.59575,-1,0,0,0.333333333
836061,KMB,10/10/2008,34.04,35.38,8655200,4,0.2542,1.2233,48.7777,1.3999,31.6442,1.2607,0.534,9.1127,13.5494,9.833372448,1.8451,29.9078,1288,38.8934,38.8823,1,0,0,0.333333333
836083,KMB,11/11/2008,36.08,35.99,2434400,4,0.2542,1.2233,48.7777,1.3999,31.6442,1.2607,0.534,9.1127,13.5494,9.833372448,1.8451,29.9078,1320,38.4448,38.45075,-1,1,8.530147263,0.333333333
836371,KMB,1/4/2011,43.24,43.28,3215400,1,0.2516,1.0877,48.2482,1.0706,29.0913,1.4858,0.4858,6.9596,10.8173,6.117811571,1.8654,16.2092,365,42.6722,42.70605,-1,0,0,0.333333333
836381,KMB,1/19/2011,43.95,44.07,2318100,1,0.2516,1.0877,48.2482,1.0706,29.0913,1.4858,0.4858,6.9596,10.8173,6.117811571,1.8654,16.2092,380,42.7984,42.7918,1,1,2.949852507,0.333333333
837074,KMB,10/21/2013,75.49,75.49,1994800,4,0.1963,1.12,61.6721,1.1208,31.8255,1.1339,0.5117,14.5127,13.9203,10.48638132,1.4593,20.6876,1386,72.566,72.57795,-1,0,0,0.333333333
837076,KMB,10/23/2013,78.08,80.17,3020000,4,0.1963,1.12,61.6721,1.1208,31.8255,1.1339,0.5117,14.5127,13.9203,10.48638132,1.4593,20.6876,1388,72.7678,72.74485,1,0,0,0.333333333
837329,KMB,7/27/2015,93.95,94.48,1694500,3,0.3161,0.8776,43.5693,27.4819,35.6507,1.6123,0.9569,10.958,16.5112,187.3188406,2.0657,-45.6428,299,91.7024,91.7088,-1,1,4.868755292,0.333333333
837336,KMB,8/5/2015,97.97,98.9,1432500,3,0.3161,0.8776,43.5693,27.4819,35.6507,1.6123,0.9569,10.958,16.5112,187.3188406,2.0657,-45.6428,308,92.2178,92.15595,1,0,0,0.333333333
837622,KMB,9/22/2016,109.38,111.02,1785100,3,0.3083,0.9196,43.5307,13.8802,36.3518,1.6843,0.9212,11.9721,18.1977,99.8185118,2.0675,-58.2213,722,111.663,111.77615,-1,1,10.67375248,0.333333333
837738,KMB,3/10/2017,117.6,118.65,2159500,1,0.3052,0.8718,44.4405,21.4171,36.8561,1.6458,0.9467,12.5,18.8277,155.5248619,2.0252,-49.3139,891,108.5164,108.25715,1,0,0,0.333333333
837862,KMB,9/6/2017,109.78,107.41,2521100,3,0.31,0.9656,45.5305,15.3534,35.7342,1.7151,0.9341,12.1543,18.6067,113.8554217,1.9767,-53.4626,1071,110.5034,110.7537,-1,1,1.713062099,0.333333333
838110,KMB,8/30/2018,106.33,105.75,2841900,3,0.3142,0.7506,45.3339,67.1875,30.9035,1.7887,0.9809,9.8429,14.6006,402.6785714,1.9853,-33.7719,1429,101.3148,101.2373,1,0,0,0.333333333
838520,KMB,4/20/2020,138.02,136.65,1814600,2,0.2852,0.9091,39.497,16.3091,38.5299,1.5534,0.9359,14.7658,20.0564,137.5757576,2.2787,-76.3797,2028,132.1818,132.2613,-1,0,0,0.333333333
838552,KMB,6/4/2020,138.03,135.72,1515600,2,0.2852,0.9091,39.497,16.3091,38.5299,1.5534,0.9359,14.7658,20.0564,137.5757576,2.2787,-76.3797,2073,133.2044,132.9506,1,1,4.826112585,0.333333333
841267,KMX,1/26/2006,14.65,14.6,1033400,1,1.0756,2.7307,13.0213,0.199,12.7603,2.1152,0.1209,2.2585,3.7447,3.7417,6.9118,3.7417,300,14.1234,14.1119,1,1,6.575342466,0.444444444
841615,KMX,6/15/2007,23.4,23.27,1701300,2,1.086,2.3628,12.1667,0.1268,13.2372,2.1574,0.0246,3.0438,5.0055,4.9199,7.3973,4.9199,805,24.4018,24.4571,-1,0,0,0.444444444
842368,KMX,6/10/2011,26.98,26.84,2746100,2,0.3742,2.6714,2.857,1.7166,14.2977,2.057,0.6238,4.6768,7.8786,5.1637,31.5011,5.1637,522,31.19,31.19305,-1,0,0,0.444444444
842518,KMX,1/13/2012,31.8,32.64,2226200,1,0.2972,2.8677,3.142,1.8902,13.6588,1.9565,0.6453,3.8459,6.4933,3.5551,28.6444,3.5551,739,29.752,29.69825,1,0,0,0.444444444
842623,KMX,6/14/2012,27.03,27.34,1438100,2,0.3227,3.122,2.1314,1.8403,13.7656,1.977,0.6404,4.3521,7.3345,4.2812,42.2254,4.2812,892,29.8288,29.87655,-1,0,0,0.444444444
842707,KMX,10/12/2012,31.44,32.55,3728800,4,0.2799,3.6224,2.167,1.8979,13.2652,1.6857,0.6474,3.6382,6.1631,3.1313,41.5328,3.1313,1012,30.1476,30.07985,1,1,10.23041475,0.444444444
843237,KMX,8/24/2015,56.11,57.7,2524900,3,0.2784,2.4988,2.3359,3.0628,13.4204,1.7596,0.7477,4.4333,7.4356,5.3637,38.5286,5.3637,327,65.6968,65.88645,-1,0,0,0.444444444
843471,KMX,7/28/2016,58.09,58.35,2012000,3,0.2578,2.541,2.1294,3.7494,13.6434,1.799,0.7842,4.0618,6.8849,5.3019,42.2645,5.3019,666,52.0548,51.925,1,0,0,0.444444444
